,t,x_ref_1,x_1,x_tof,x_tof_filtered,u_1,J,FSP_reading
1111,3309.891835,28.80859375,28.80859375,77.0,84.69663496956831,2.0000000000000115,4.284993403859662,1.2371134020618557
1112,3310.044085,28.80859375,28.80859375,80.0,84.46115610189176,2.0000000000000115,4.284993403859662,1.2345360824742269
1113,3310.196967,28.80859375,28.80859375,79.0,84.19974673566182,2.0000000000000115,4.284993403859662,1.2473958333333333
1114,3310.349109,28.80859375,28.80859375,78.0,83.98845412392045,2.0000000000000115,4.284993403859662,1.2441558441558442
1115,3310.504462,28.80859375,28.80859375,79.0,83.78774538802574,2.0000000000000115,4.284993403859662,1.2441558441558442
1116,3310.674386,28.80859375,28.80859375,80.0,83.58435891678126,2.0000000000000115,4.284993403859662,1.2506527415143602
1117,3310.831463,28.80859375,28.80859375,82.0,83.45036284851516,2.0000000000000115,4.284993403859662,1.2572178477690288
1118,3310.984598,28.80859375,28.80859375,80.0,83.36755530639832,2.0000000000000115,4.284993403859662,1.2638522427440633
1119,3311.136877,28.80859375,28.80859375,81.0,83.27236891364299,2.0000000000000115,4.284993403859662,1.2705570291777188
1120,3311.289608,28.80859375,28.80859375,83.0,83.1855653585773,2.0000000000000115,4.284993403859662,1.273936170212766
1121,3311.456509,28.80859375,28.80859375,81.0,83.13289339904793,2.0000000000000115,4.284993403859662,1.2712765957446808
1122,3311.612892,28.80859375,28.80859375,82.0,83.09250271987898,2.0000000000000115,4.284993403859662,1.2712765957446808
1123,3311.765291,28.80859375,28.80859375,75.0,82.95677892960164,2.0000000000000115,4.284993403859662,1.2712765957446808
1124,3311.918226,28.80859375,28.80859375,81.0,82.75119090958475,2.0000000000000115,4.284993403859662,1.2679045092838197
1125,3312.070635,28.80859375,28.80859375,82.0,82.61264472041847,2.0000000000000115,4.284993403859662,1.2780748663101604
1126,3312.228192,28.80859375,28.80859375,81.0,82.58049095454764,2.0000000000000115,4.284993403859662,1.2807486631016043
1127,3312.417924,28.80859375,26.3671875,78.0,82.52846990928148,2.0000000000000115,4.284993403859662,1.2780748663101604
1128,3312.575092,28.80859375,28.80859375,82.0,82.40551681634818,2.0000000000000115,6.823578164992435,1.2780748663101604
1129,3312.732575,28.80859375,28.80859375,79.0,82.28963578622127,2.0000000000000115,4.284993403859662,1.2841823056300268
1130,3312.890481,28.80859375,28.80859375,80.0,82.21019385245734,2.0000000000000115,4.284993403859662,1.2780748663101604
